account_id,account_age_days,monthly_txn_count,avg_txn_amount,inward_txn_count,outward_txn_count,inward_amount,outward_amount,unique_senders,unique_receivers,cash_withdrawal_count,rapid_transfer_count,night_txn_ratio,new_beneficiary_count,geo_change_count,failed_login_count,device_change_count,balance_velocity,label
ACC00001,64,183,85684.94,144,39,12751155.46,3277578.15,108,39,13,75,0.522,23,7,4,2,0.6446,1
ACC00002,171,235,19679.4,127,108,2400441.56,2364183.73,101,100,10,79,0.2501,25,5,4,3,0.8495,1
ACC00003,344,19,1963.77,8,11,14793.41,28080.04,4,9,1,2,0.017,2,0,2,1,0.2936,0
ACC00004,18,134,18096.7,106,28,1754448.4,552185.19,82,13,16,42,0.4086,33,5,4,6,0.7032,1
ACC00005,672,89,2570.47,36,53,79407.53,159229.15,23,26,2,2,0.0578,3,1,0,0,0.3571,0
ACC00006,515,110,2530.84,60,50,116079.01,126658.95,20,26,5,3,0.0183,2,0,1,0,0.1194,0
ACC00007,931,61,747.51,22,39,16194.67,21203.57,13,28,2,2,0.0311,1,0,0,2,0.3625,0
ACC00008,39,154,12507.32,119,35,1439644.59,393159.87,80,28,19,61,0.4326,23,3,5,4,0.9919,1
ACC00009,148,51,4231.9,28,23,117624.46,103173.63,3,6,5,4,0.03,3,1,0,0,0.4367,0
ACC00010,436,42,5074.51,25,17,139065.0,66407.76,11,2,3,4,0.0498,1,0,0,0,0.262,0
ACC00011,72,176,27453.0,122,54,4099772.09,1346283.14,68,41,12,64,0.4823,28,5,2,3,0.6901,1
ACC00012,1094,49,4667.33,26,23,122133.82,107958.78,13,5,2,2,0.0289,2,1,2,0,0.2627,0
ACC00013,614,20,7038.65,11,9,76496.42,72412.17,7,6,2,5,0.0698,4,0,1,0,0.3273,0
ACC00014,117,523,13849.43,414,109,6459357.86,1314679.11,325,109,22,196,0.4786,22,8,6,3,0.7146,1
ACC00015,2197,67,2102.25,26,41,60303.17,96608.02,11,24,2,4,0.04,0,1,2,1,0.6124,0
ACC00016,333,44,2395.18,16,28,42535.3,51253.87,5,15,1,4,0.0358,3,0,2,0,0.2346,0
ACC00017,1272,42,744.12,21,21,12879.72,17016.23,11,12,2,2,0.071,3,0,1,1,0.2294,0
ACC00018,2352,30,1562.58,12,18,21025.14,33676.47,4,2,2,4,0.0745,3,0,1,1,0.2928,0
ACC00019,100,399,19713.82,225,174,4875356.71,3145759.54,194,132,13,171,0.2323,28,4,6,2,0.8832,1
ACC00020,435,146,2166.9,70,76,150015.7,203831.37,29,34,4,3,0.0187,1,1,1,0,0.4,0
ACC00021,72,55,20002.81,39,16,874307.92,318306.7,33,16,17,18,0.3567,21,8,5,7,0.8179,1
